Title,Artist,DurationSeconds,Genre
Purple Rain,Prince,243,Rock
Party Like It's 1999,Prince,376,Funk
Kiss,Prince,218,Pop
November Rain,Guns N' Roses,537,Rock
Sweet Child O' Mine,Guns N' Roses,356,Rock
Paradise City,Guns N' Roses,406,Rock
Tennessee Whiskey,Chris Stapleton,293,Country
Die on This Hill,Sienna Spiro,201,Pop
A Couple Minutes,Olivia Dean,210,Soul
Pop Dat Thang,DaBaby,178,Hip-Hop
Free Bird,Lynyrd Skynyrd,544,Rock
Peace Train,Cat Stevens,242,Folk
Riders on the Storm,The Doors,428,Rock
Crazy,Aerosmith,278,Rock
Bohemian Rhapsody,Queen,355,Rock
Billie Jean,Michael Jackson,294,Pop
Hotel California,Eagles,391,Rock
Stairway to Heaven,Led Zeppelin,482,Rock
Rolling in the Deep,Adele,228,Pop
Someone Like You,Adele,285,Pop
Blinding Lights,The Weeknd,200,Synthpop
Shape of You,Ed Sheeran,233,Pop
Uptown Funk,Bruno Mars,270,Funk
Livin' on a Prayer,Bon Jovi,251,Rock
Don't Stop Believin',Journey,251,Rock
Imagine,John Lennon,183,Rock
Hey Jude,The Beatles,431,Rock
Let It Be,The Beatles,243,Rock
Superstition,Stevie Wonder,266,Funk
Take Me Home Country Roads,John Denver,186,Country
