Title,Artist,DurationSeconds,PlayCount
Purple Rain,Prince,243,15420
Party Like It's 1999,Prince,376,9830
Kiss,Prince,218,7621
November Rain,Guns N' Roses,537,18902
Sweet Child O' Mine,Guns N' Roses,356,21044
Paradise City,Guns N' Roses,406,12873
Tennessee Whiskey,Chris Stapleton,293,14210
Die on This Hill,Sienna Spiro,201,3120
A Couple Minutes,Olivia Dean,210,4590
Pop Dat Thang,DaBaby,178,6789
Free Bird,Lynyrd Skynyrd,544,16543
Peace Train,Cat Stevens,242,8890
Riders on the Storm,The Doors,428,11234
Crazy,Aerosmith,278,9456
Bohemian Rhapsody,Queen,355,25873
Billie Jean,Michael Jackson,294,23456
Hotel California,Eagles,391,19832
Stairway to Heaven,Led Zeppelin,482,20112
Rolling in the Deep,Adele,228,17654
Someone Like You,Adele,285,16890
Blinding Lights,The Weeknd,200,22341
Shape of You,Ed Sheeran,233,24567
Uptown Funk,Bruno Mars,270,21987
Livin' on a Prayer,Bon Jovi,251,13456
Don't Stop Believin',Journey,251,19234
Imagine,John Lennon,183,15678
Hey Jude,The Beatles,431,18345
Let It Be,The Beatles,243,17209
Superstition,Stevie Wonder,266,10987
Take Me Home Country Roads,John Denver,186,12456
