Title,Artist,ISRC,Genre,Year,PlayCount,DurationSeconds
Purple Rain,Prince,US-PLC-84-00001,Rock,1984,15420,243
Party Like It's 1999,Prince,US-PLC-82-00002,Funk,1982,9830,376
Kiss,Prince,US-PLC-86-00003,Pop,1986,7621,218
November Rain,Guns N' Roses,US-PLC-91-00004,Rock,1991,18902,537
Sweet Child O' Mine,Guns N' Roses,US-PLC-87-00005,Rock,1987,21044,356
Paradise City,Guns N' Roses,US-PLC-88-00006,Rock,1988,12873,406
Tennessee Whiskey,Chris Stapleton,US-PLC-15-00007,Country,2015,14210,293
Die on This Hill,Sienna Spiro,GB-PLC-23-00008,Pop,2023,3120,201
A Couple Minutes,Olivia Dean,GB-PLC-23-00009,Soul,2023,4590,210
Pop Dat Thang,DaBaby,US-PLC-20-00010,Hip-Hop,2020,6789,178
Free Bird,Lynyrd Skynyrd,US-PLC-73-00011,Rock,1973,16543,544
Peace Train,Cat Stevens,GB-PLC-71-00012,Folk,1971,8890,242
Riders on the Storm,The Doors,US-PLC-71-00013,Rock,1971,11234,428
Crazy,Aerosmith,US-PLC-93-00014,Rock,1993,9456,278
Bohemian Rhapsody,Queen,GB-PLC-75-00015,Rock,1975,25873,355
Billie Jean,Michael Jackson,US-PLC-82-00016,Pop,1982,23456,294
Hotel California,Eagles,US-PLC-76-00017,Rock,1976,19832,391
Stairway to Heaven,Led Zeppelin,GB-PLC-71-00018,Rock,1971,20112,482
Rolling in the Deep,Adele,GB-PLC-10-00019,Pop,2010,17654,228
Someone Like You,Adele,GB-PLC-11-00020,Pop,2011,16890,285
Blinding Lights,The Weeknd,CA-PLC-19-00021,Synthpop,2019,22341,200
Shape of You,Ed Sheeran,GB-PLC-17-00022,Pop,2017,24567,233
Uptown Funk,Bruno Mars,US-PLC-14-00023,Funk,2014,21987,270
Livin' on a Prayer,Bon Jovi,US-PLC-86-00024,Rock,1986,13456,251
Don't Stop Believin',Journey,US-PLC-81-00025,Rock,1981,19234,251
Imagine,John Lennon,GB-PLC-71-00026,Rock,1971,15678,183
Hey Jude,The Beatles,GB-PLC-68-00027,Rock,1968,18345,431
Let It Be,The Beatles,GB-PLC-70-00028,Rock,1970,17209,243
Superstition,Stevie Wonder,US-PLC-72-00029,Funk,1972,10987,266
Take Me Home Country Roads,John Denver,US-PLC-71-00030,Country,1971,12456,186
